City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Ostrovnoy,RU,68.0531,39.5131,48.61,84,57,7.99,broken clouds
334,Turukhansk,RU,65.8167,87.9833,64.35,64,99,6.24,overcast clouds
335,Songjianghe,CN,42.1859,127.479,68.18,99,100,3.78,light rain
336,San Patricio,US,28.017,-97.5169,88.52,68,3,13.09,clear sky
337,Siyana,IN,28.6277,78.0599,81.14,86,61,5.73,broken clouds
338,Bima,ID,-8.4667,118.7167,84.45,64,55,5.75,broken clouds
339,Tongzi,CN,28.7829,105.0877,81.27,65,0,3.27,light rain
340,Tuensang,IN,26.2833,94.8333,73.9,93,12,1.59,few clouds
341,Terre Haute,US,39.4667,-87.4139,71.87,71,1,5.75,clear sky
342,Pangoa,PE,-12.1167,-73.0,67.12,69,33,2.73,scattered clouds
343,Phan Thiet,VN,10.9333,108.1,83.75,71,41,15.01,scattered clouds
344,Arrifes,PT,37.7667,-25.7,71.85,88,75,11.5,broken clouds
345,Guatire,VE,10.4762,-66.5427,75.7,94,17,4.36,few clouds
346,Sun Valley,US,39.5963,-119.776,91.33,20,75,11.5,broken clouds
