City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Yanam,IN,84.6,overcast clouds,16.7333,82.2167,The Regency Hotel
536,Leamington,CA,70.83,clear sky,42.0549,-82.6062,Seacliffe Inn (The)
537,Mirpur Khas,PK,82.6,overcast clouds,25.5251,69.0159,Hotel Al-Fajar
539,Dongying,CN,80.64,light rain,37.4564,118.4856,Wanda Realm
540,Acarau,BR,76.46,few clouds,-2.8856,-40.12,castelo pizzaria
541,Guiratinga,BR,70.84,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
543,Havelock,US,75.94,moderate rain,34.8791,-76.9013,Sherwood Motel
544,Rafsanjan,IR,80.58,broken clouds,30.4067,55.9939,Rafsanjan Tourism Hotel
545,Barreirinhas,BR,75.47,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
546,Marsa Matruh,EG,79.16,clear sky,31.3525,27.2453,Beau Site
547,Alta Floresta,BR,75.67,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
549,Guigue,VE,70.84,overcast clouds,10.0853,-67.7792,La vasquereña
551,Kapoeta,SS,76.53,overcast clouds,4.7717,33.5903,Eastgate Hotel
553,Jiangyou,CN,83.75,clear sky,31.7667,104.7167,Shangping Shuyuan Inn
554,Harper,LR,76.3,overcast clouds,4.375,-7.7169,Screensaver
556,Cedar City,US,72.18,scattered clouds,37.6775,-113.0619,Hampton Inn Cedar City
557,Suleja,NG,68.67,overcast clouds,9.1758,7.1808,Capy Motel
558,Tucupita,VE,73.54,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
560,Maragogi,BR,73.17,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
563,Kavieng,PG,83.03,light rain,-2.5744,150.7967,Nusa Island Retreat
564,Ankeny,US,75.49,few clouds,41.7297,-93.6058,Fairfield Inn & Suites by Marriott Ankeny
565,Portachuelo,BO,67.1,broken clouds,-17.35,-63.4,MOTEL
568,Nongan,CN,68.05,light rain,44.382,125.1685,Quanhu Resort
570,Komsomolskiy,UZ,76.42,few clouds,40.4272,71.7189,Ikathouse
573,Tarauaca,BR,70.21,clear sky,-8.1614,-70.7656,Flat Temporada
574,Florida,US,84.25,overcast clouds,28.7505,-82.5001,Sportsmens Cove
578,Papetoai,PF,81.99,clear sky,-17.4961,-149.8729,Fare Vaihere
579,Sampit,ID,81.1,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
585,Kenora,CA,72.25,scattered clouds,49.8167,-94.4337,Maynard Lake Lodge
588,Rzhyshchiv,UA,76.1,clear sky,49.9689,31.0463,Na Dnipri
589,Bako,ET,65.43,overcast clouds,5.7833,36.5667,Goh Hotel
590,Korla,CN,77.27,overcast clouds,41.7597,86.1469,Gulisitan Hotel
591,Hamilton,US,73.78,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
592,Matay,EG,84.36,clear sky,28.419,30.7792,Nag Aespen
593,Mazagao,BR,78.85,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
594,Terney,RU,68.0,overcast clouds,45.0503,136.6092,"Hotel ""Ternay"""
596,Orhei,MD,72.79,clear sky,47.3831,28.8231,Chateau Vartely
599,Xuzhou,CN,82.33,light rain,34.1805,117.1571,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
601,Am Timan,TD,71.2,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
603,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
605,Nador,MA,68.25,clear sky,35.174,-2.9287,Hôtel La Giralda
606,Mogadishu,SO,75.79,light rain,2.0371,45.3438,Hotel Juba
607,Quesnel,CA,78.87,overcast clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
608,Manoel Urbano,BR,68.94,clear sky,-8.8389,-69.2597,Baixada Beira Rio
610,Praia Da Vitoria,PT,75.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
612,Moindou,NC,71.55,clear sky,-21.6924,165.677,Gite de la RYAWA
614,Hami,CN,73.42,clear sky,42.8,93.45,Laoyutang Resort
615,Nautla,MX,82.24,few clouds,20.2167,-96.7833,Casa Blanca
617,Sabzevar,IR,75.52,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
619,Riverton,US,83.88,broken clouds,40.5219,-111.9391,Ramada by Wyndham Draper
621,Bandarbeyla,SO,82.09,few clouds,9.4942,50.8122,JABIR HOTEL
623,Ternate,ID,82.87,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
624,Madang,PG,83.26,few clouds,-5.2246,145.7966,Comfort Inn Hotel
626,Tera,NE,82.74,overcast clouds,14.0078,0.7531,Hotel Dar es salam
630,Nemuro,JP,65.88,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
