City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Hue,VN,2021-07-29 01:23:47,16.4667,107.6,91.51,52,20,9.22
170,Coihaique,CL,2021-07-29 01:23:47,-45.5752,-72.0662,40.95,81,0,6.91
171,Acapulco,MX,2021-07-29 01:23:47,16.8634,-99.8901,84.02,79,75,9.22
172,Opuwo,NA,2021-07-29 01:20:56,-18.0607,13.84,55.78,32,1,6.49
173,Hami,CN,2021-07-29 01:23:48,42.8,93.45,91.44,18,100,10.11
174,Bambanglipuro,ID,2021-07-29 01:23:48,-7.95,110.2833,78.62,74,86,4.0
175,Grants Pass,US,2021-07-29 01:23:49,42.439,-123.3284,102.61,26,1,3.0
176,Nyurba,RU,2021-07-29 01:23:49,63.2842,118.3319,71.38,34,0,7.47
177,Japura,ID,2021-07-29 01:23:49,-0.3167,102.35,77.32,61,15,3.91
178,Hofn,IS,2021-07-29 01:23:50,64.2539,-15.2082,53.15,85,100,1.3
179,Darovskoy,RU,2021-07-29 01:23:50,58.77,47.9564,50.43,74,15,4.97
180,Revelstoke,CA,2021-07-29 01:23:50,50.9832,-118.2023,75.22,73,90,4.61
181,Majene,ID,2021-07-29 01:23:51,-3.5403,118.9707,81.82,72,14,8.3
182,Shatrovo,RU,2021-07-29 01:23:51,56.5167,64.6333,45.43,78,8,7.11
183,Luanda,AO,2021-07-29 01:22:11,-8.8368,13.2343,69.8,94,75,3.44
184,Great Falls,US,2021-07-29 01:20:24,47.5002,-111.3008,90.05,26,20,5.01
185,Ballina,AU,2021-07-29 01:23:52,-28.8667,153.5667,71.78,51,2,12.37
186,Impfondo,CG,2021-07-29 01:23:52,1.6381,18.0667,74.77,76,100,1.66
187,Faanui,PF,2021-07-29 01:23:53,-16.4833,-151.75,78.19,69,42,2.95
188,Port Blair,IN,2021-07-29 01:23:53,11.6667,92.75,82.0,84,100,18.61
189,Kenai,US,2021-07-29 01:23:53,60.5544,-151.2583,65.03,73,1,23.02
190,Barguzin,RU,2021-07-29 01:23:54,53.6167,109.6167,72.54,58,35,2.13
191,Neuquen,AR,2021-07-29 01:20:31,-38.9516,-68.0591,39.09,60,0,2.3
192,Golubitskaya,RU,2021-07-29 01:23:54,45.3222,37.2822,68.43,69,0,0.38
193,Hambantota,LK,2021-07-29 01:23:55,6.1241,81.1185,80.28,80,74,18.39
194,Egvekinot,RU,2021-07-29 01:23:55,66.3167,-179.1667,38.12,96,100,5.03
195,Victor Harbor,AU,2021-07-29 01:23:56,-35.5667,138.6167,57.72,70,11,1.01
196,Kamal,ID,2021-07-29 01:23:56,-7.1678,112.7192,78.69,67,10,2.06
197,Camopi,GF,2021-07-29 01:23:56,3.1655,-52.3158,70.88,99,37,2.35
198,Chiaravalle,IT,2021-07-29 01:23:57,43.6027,13.3246,81.79,46,75,1.14
199,Ust-Kuyga,RU,2021-07-29 01:22:42,70.0167,135.6,55.2,49,75,10.13
200,Avarua,CK,2021-07-29 01:23:57,-21.2078,-159.775,68.05,100,90,5.75
201,Richards Bay,ZA,2021-07-29 01:22:00,-28.783,32.0377,57.25,64,5,8.9
202,Jalu,LY,2021-07-29 01:20:54,29.0331,21.5482,80.15,44,0,10.16
203,Umm Lajj,SA,2021-07-29 01:23:58,25.0213,37.2685,85.62,70,20,5.39
204,Iranshahr,IR,2021-07-29 01:23:58,27.2025,60.6848,92.01,21,93,0.96
205,Robertsport,LR,2021-07-29 01:20:17,6.7533,-11.3686,77.52,73,100,11.74
206,Raga,SS,2021-07-29 01:23:59,8.4596,25.678,67.69,98,30,4.36
207,Antalaha,MG,2021-07-29 01:23:59,-14.9003,50.2788,64.22,89,7,6.67
208,Kilinochchi,LK,2021-07-29 01:24:00,9.3961,80.3982,80.92,78,100,10.63
209,Selikhino,RU,2021-07-29 01:24:00,50.3672,137.4996,83.61,65,100,6.96
210,Rayadrug,IN,2021-07-29 01:24:00,14.7,76.8667,71.62,82,93,15.52
211,Ketchikan,US,2021-07-29 01:24:01,55.3422,-131.6461,66.67,63,90,9.22
212,Nazca,PE,2021-07-29 01:24:01,-14.8333,-74.95,69.08,56,10,2.68
213,Gat,IL,2021-07-29 01:24:02,31.61,34.7642,78.91,85,1,4.79
214,Leningradskiy,RU,2021-07-29 01:24:02,69.3833,178.4167,33.33,100,100,16.49
215,Kaitangata,NZ,2021-07-29 01:23:51,-46.2817,169.8464,52.93,69,28,6.31
216,Zapolyarnyy,RU,2021-07-29 01:24:02,69.4154,30.8136,45.68,84,100,3.53
217,Port Moresby,PG,2021-07-29 01:21:52,-9.4431,147.1797,83.62,74,40,11.5
218,Ponta Do Sol,PT,2021-07-29 01:19:36,32.6667,-17.1,72.23,79,16,6.04
219,Baturite,BR,2021-07-29 01:24:03,-4.3286,-38.8847,72.01,93,8,3.51
220,Talara,PE,2021-07-29 01:24:04,-4.5772,-81.2719,66.63,91,49,17.05
221,Netarhat,IN,2021-07-29 01:19:13,23.4833,84.2667,67.39,98,100,4.29
222,Sao Joao Da Barra,BR,2021-07-29 01:24:04,-21.6403,-41.0511,68.2,82,100,17.18
223,La Palma,US,2021-07-29 01:24:04,33.8464,-118.0467,103.8,47,20,5.99
224,Krasnoselkup,RU,2021-07-29 01:24:05,65.7,82.4667,58.05,78,0,10.07
225,Svetlaya,RU,2021-07-29 01:24:05,46.5389,138.3297,76.89,68,4,9.89
226,Bekhtery,UA,2021-07-29 01:24:05,46.251,32.2927,75.63,81,6,9.37
227,Baykit,RU,2021-07-29 01:24:06,61.67,96.37,68.07,62,38,4.18
228,Kipushi,CD,2021-07-29 01:24:06,-11.7667,27.2333,50.04,55,0,4.0
229,Xingyi,CN,2021-07-29 01:24:07,24.1877,102.817,66.78,89,69,1.23
230,Derzhavinsk,KZ,2021-07-29 01:23:11,51.1,66.3167,57.34,76,22,11.32
231,Teya,RU,2021-07-29 01:24:07,60.3778,92.6267,53.6,96,100,2.93
232,Bethel,US,2021-07-29 01:24:07,41.3712,-73.414,71.91,78,1,3.44
233,Boende,CD,2021-07-29 01:24:08,-0.2167,20.8667,78.48,39,100,0.69
234,Suclayin,PH,2021-07-29 01:24:08,15.7568,121.5503,81.72,84,100,6.62
235,Concepcion,CL,2021-07-29 01:24:08,-36.827,-73.0498,53.4,71,0,4.61
236,Bikaner,IN,2021-07-29 01:24:09,28.0167,73.3,82.6,76,74,12.24
237,Verkhniy Baskunchak,RU,2021-07-29 01:24:09,48.2256,46.7217,76.78,35,90,5.12
238,Toora-Khem,RU,2021-07-29 01:24:09,52.4675,96.11,54.16,83,100,3.58
239,Ulladulla,AU,2021-07-29 01:24:10,-35.35,150.4667,60.87,31,0,3.67
240,Amapa,BR,2021-07-29 01:24:10,1.0,-52.0,70.79,99,12,2.48
241,Tilichiki,RU,2021-07-29 01:22:59,60.4667,166.1,59.25,45,34,10.8
242,Panuco,MX,2021-07-29 01:24:11,22.05,-98.1667,83.03,67,65,11.92
243,Verkhoyansk,RU,2021-07-29 01:24:11,67.5447,133.385,57.47,43,98,7.52
244,Ialibu,PG,2021-07-29 01:24:11,-6.2821,143.9935,66.83,79,95,2.21
245,Saint-Augustin,CA,2021-07-29 01:24:12,51.226,-58.6502,57.18,91,66,8.3
246,Hermon,US,2021-07-29 01:24:12,44.8101,-68.9134,64.85,68,7,3.98
247,Namatanai,PG,2021-07-29 01:24:12,-3.6667,152.4333,84.72,66,24,2.28
248,Kumeny,RU,2021-07-29 01:24:13,58.1089,49.9161,50.52,70,1,7.34
249,Bengkulu,ID,2021-07-29 01:24:03,-3.8004,102.2655,78.08,78,100,4.27
250,Naze,JP,2021-07-29 01:24:14,28.3667,129.4833,83.32,85,37,8.77
251,Tarko-Sale,RU,2021-07-29 01:24:14,64.9225,77.785,54.1,79,94,5.93
252,Evensk,RU,2021-07-29 01:24:14,61.95,159.2333,57.27,49,79,6.76
253,Zharkent,KZ,2021-07-29 01:24:15,44.1628,80.0,75.42,32,0,6.29
254,Cabedelo,BR,2021-07-29 01:24:15,-6.9811,-34.8339,74.07,84,3,11.48
255,Fairbanks,US,2021-07-29 01:23:11,64.8378,-147.7164,64.74,85,90,5.75
256,San Quintin,MX,2021-07-29 01:24:15,30.4833,-115.95,72.1,76,0,17.13
257,Talaya,RU,2021-07-29 01:24:16,61.3833,152.75,45.12,65,100,10.74
258,Thompson,CA,2021-07-29 01:23:54,55.7435,-97.8558,62.76,51,40,8.05
259,Kansanshi,ZM,2021-07-29 01:24:16,-12.0951,26.4273,48.07,57,2,4.09
260,Husavik,IS,2021-07-29 01:21:17,66.0449,-17.3389,46.31,98,100,6.96
261,Dalvik,IS,2021-07-29 01:24:17,65.9702,-18.5286,46.33,98,100,4.9
262,Ribeira Grande,PT,2021-07-29 01:24:17,38.5167,-28.7,70.97,86,14,9.46
263,Nouadhibou,MR,2021-07-29 01:22:10,20.931,-17.0347,67.98,88,0,13.8
264,Churapcha,RU,2021-07-29 01:24:18,62.0025,132.4325,67.6,30,0,16.6
265,Poltavka,RU,2021-07-29 01:24:18,54.3663,71.7632,50.74,81,0,7.72
266,Deniliquin,AU,2021-07-29 01:24:18,-35.5333,144.9667,54.0,59,5,11.03
267,Bull Savanna,JM,2021-07-29 01:24:19,17.8868,-77.5902,77.72,85,96,6.51
268,Banjar,ID,2021-07-29 01:24:19,-8.19,114.9675,80.46,65,59,3.56
269,Am Timan,TD,2021-07-29 01:24:19,11.0297,20.2827,71.58,96,100,4.56
270,Russell,US,2021-07-29 01:22:11,32.3502,-85.1999,87.03,78,20,0.0
271,Curup,ID,2021-07-29 01:24:20,-3.4667,102.5333,73.62,75,99,1.41
272,Sambava,MG,2021-07-29 01:24:20,-14.2667,50.1667,65.53,77,0,6.91
273,Luderitz,NA,2021-07-29 01:24:21,-26.6481,15.1594,53.62,78,0,15.88
274,Esna,EG,2021-07-29 01:24:21,25.2934,32.554,84.22,21,5,12.26
275,Sesheke,ZM,2021-07-29 01:24:21,-17.4759,24.2968,49.35,61,8,4.9
276,Kirkwall,GB,2021-07-29 01:22:37,58.9848,-2.9587,55.74,94,90,12.66
277,Pinotepa Nacional,MX,2021-07-29 01:24:22,16.3167,-98.0167,79.14,74,74,3.65
278,Nome,US,2021-07-29 01:24:22,64.5011,-165.4064,51.87,87,90,24.16
279,Kayes,ML,2021-07-29 01:24:23,14.0,-11.0,74.79,93,100,7.67
280,Tabuk,PH,2021-07-29 01:24:23,17.4189,121.4443,84.7,71,100,2.84
281,Beloha,MG,2021-07-29 01:24:23,-25.1667,45.05,61.3,94,0,6.91
282,Barcelos,PT,2021-07-29 01:24:24,41.5388,-8.6151,67.84,75,64,5.01
283,Portree,GB,2021-07-29 01:24:24,57.4129,-6.1942,54.86,93,100,10.04
284,Puerto Ayora,EC,2021-07-29 01:24:25,-0.7393,-90.3518,71.46,89,67,7.09
285,La Ronge,CA,2021-07-29 01:20:42,55.1001,-105.2842,70.05,49,20,4.61
286,Goderich,CA,2021-07-29 01:21:35,43.7501,-81.7165,72.03,77,35,2.3
287,Lipetsk,RU,2021-07-29 01:24:26,52.6031,39.5708,64.51,78,84,5.37
288,Severo-Kurilsk,RU,2021-07-29 01:24:26,50.6789,156.125,58.93,89,99,4.32
